pair_id,label_same_person,lr_marks,display_correspondences,scoring_correspondences,generic_suppressed,distinctive_preserved,lr_before_caps,lr_after_all_caps,cluster_penalty
lfw_mismatched_0072,False,1.0,9,8,1,8,6103515625.0,1.0,True
lfw_mismatched_0088,False,1.0,7,7,0,7,2238390675.7565446,1.0,True
lfw_mismatched_0094,False,1.0,5,4,1,4,266249.65310218156,1.0,True
lfw_mismatched_0101,False,1.0,9,9,0,9,3814697265625.0,1.0,True
lfw_matched_0008,True,3.2305016037385856,3,3,0,3,15625.0,3.2305016037385856,True
lfw_matched_0013,True,1.0,13,12,1,12,3063775293347436.0,1.0,True
lfw_matched_0035,True,1.0,5,5,0,5,390625.0,1.0,True
lfw_matched_0044,True,1.0,10,9,1,9,152587890625.0,1.0,True
lfw_matched_0054,True,1.0,5,4,1,4,24197.632726542863,1.0,True
lfw_matched_0062,True,1.0,9,9,0,9,2158032479499.6025,1.0,True
lfw_matched_0081,True,1.0,6,6,0,6,154094622.4253573,1.0,True
lfw_matched_0090,True,1.0,6,3,3,3,15625.0,1.0,True
lfw_mismatched_0008,False,1.0,7,7,0,7,244140625.0,1.0,True
lfw_mismatched_0036,False,1.0,5,5,0,5,11482.274519581262,1.0,True
lfw_mismatched_0045,False,1.0,11,10,1,10,1428935777636.4355,1.0,True
lfw_mismatched_0054,False,1.0,8,8,0,8,21345414864.386486,1.0,True
lfw_mismatched_0061,False,3.6238983183884783,1,1,0,1,25.0,3.6238983183884783,True
lfw_mismatched_0081,False,1.0,6,6,0,6,244140625.0,1.0,True
lfw_mismatched_0093,False,1.0,4,3,1,3,625.0,1.0,True
lfw_mismatched_0100,False,1.0,7,6,1,6,137622523.1273314,1.0,True
lfw_matched_0002,True,1.0,11,10,1,10,115646502673.50143,1.0,True
lfw_matched_0010,True,1.0,8,7,1,7,3925208.2170742075,1.0,True
lfw_matched_0018,True,1.0,5,5,0,5,390625.0,1.0,True
lfw_matched_0049,True,1.0,3,3,0,3,15625.0,1.0,True
lfw_matched_0057,True,1.0,5,5,0,5,9765625.0,1.0,True
lfw_matched_0066,True,1.0,12,9,3,9,5095976358.064995,1.0,True
lfw_matched_0078,True,1.0,7,5,2,5,22271.950962600524,1.0,True
lfw_matched_0084,True,1.0,4,4,0,4,625.0,1.0,True
lfw_mismatched_0001,False,1.0,8,7,1,7,12248140.115632724,1.0,True
lfw_mismatched_0011,False,1.0,9,6,3,6,1795379.7658194734,1.0,True
lfw_mismatched_0023,False,1.0,5,5,0,5,158793.29641101262,1.0,True
lfw_mismatched_0040,False,1.0,8,8,0,8,244140625.0,1.0,True
lfw_mismatched_0047,False,1.0,4,4,0,4,390625.0,1.0,True
lfw_mismatched_0058,False,1.0,8,7,1,7,158403593.7774447,1.0,True
lfw_mismatched_0063,False,1.0,6,6,0,6,244140625.0,1.0,True
lfw_mismatched_0074,False,1.0,7,4,3,4,15625.0,1.0,True
lfw_mismatched_0089,False,50.476587558415446,2,2,0,2,115.72379734104781,50.476587558415446,True
lfw_mismatched_0095,False,1.0,5,4,1,4,390625.0,1.0,True
